Object Name,Biodegradable,Recyclable,Hazardous,None
person,,,,none
bicycle,,,,none
car,,,,none
motorbike,,,,none
aeroplane,,,,none
bus,,,,none
train,,,,none
truck,,,,none
boat,,,,none
traffic light,,,,none
fire hydrant,,,,none
stop sign,,,,none
parking meter,,,,none
bench,,,,none
bird,,,,none
cat,,,,none
dog,,,,none
horse,,,,none
sheep,,,,none
cow,,,,none
elephant,,,,none
bear,,,,none
zebra,,,,none
giraffe,,,,none
backpack,,,,none
umbrella,,,,none
handbag,,,,none
tie,,,,none
suitcase,,,,none
frisbee,,,,none
skis,,,,none
snowboard,,,,none
sports ball,,,,none
kite,,,,none
baseball bat,,,,none
baseball glove,,,,none
skateboard,,,,none
surfboard,,,,none
tennis racket,,,,none
bottle,,recyclable,,
wine glass,,,,none
cup,,,,none
fork,,,,none
knife,,,,none
spoon,,,,none
bowl,,,,none
banana,biodegradable,,,
apple,biodegradable,,,
sandwich,,,,none
orange,,,,none
broccoli,,,,none
carrot,biodegradable,,,
hot dog,,,,none
pizza,,,,none
donut,,,,none
cake,,,,none
chair,,,,none
sofa,,,,none
pottedplant,,,,none
bed,,,,none
diningtable,,,,none
toilet,,,,none
tvmonitor,,,,none
laptop,,,,none
mouse,,,,none
remote,,,,none
keyboard,,,,none
cell phone,,,,none
microwave,,,,none
oven,,,,none
toaster,,,,none
sink,,,,none
refrigerator,,,,none
book,,,,none
clock,,,,none
vase,,,,none
scissors,,,,none
teddy bear,,,,none
hair drier,,,,none
toothbrush,,,,none
